sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
TBNK2309321733  DN1856-002      34.4    20.4    12.6    1       8842.18
TBNK2309342573  DN1856-002      34.4    20.4    12.6    3       26526.5
ODO1694010592690166     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694008919389467     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694008919389467     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694016651319715     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694003934951812     DN1856-200      34.4    20.4    12.6    1       8842.18
ODO1694275310349806     DN1856-002      34.4    20.4    12.6    1       8842.18
ODO1694008917768369     DN1856-002      34.4    20.4    12.6    1       8842.18
TBNK2309118683  DC3728-003      34.4    21.4    12      2       17667.8
ODO1694008933230351     DX2294-400      34.4    21.4    12      1       8833.92
TBNK2309155022  DM0829-001      34.4    21.4    12      1       8833.92
TBNK2309237035  415445-102      34.4    21.4    12      2       17667.8
TBNK2309315469  DM0829-001      34.4    21.4    12      1       8833.92
ODO169400303992850      415445-102      34.4    21.4    12      1       8833.92
TBNK2309157081  DM0829-102      34.4    21.4    12      1       8833.92
TBNK2309197571  DR2665-001      34.4    21.4    12      1       8833.92
TBNK2309271619  DM0829-001      34.4    21.4    12      1       8833.92
BSIN2309025236  DH9522-001      34.4    21.4    12      1       8833.92
BSIN2309143013  DQ4068-101      34.4    21.4    12      1       8833.92
BSIN2309139579  DM0829-001      34.4    21.4    12      1       8833.92
ODO169391736453293      DX3666-100      34.4    21.4    12      1       8833.92
BSIN2309034475  415445-102      34.4    21.4    12      1       8833.92
ODO1693828081462997     DC3728-003      34.4    21.4    12      1       8833.92
ODO1693920602520736     CZ0931-001      34.4    21.4    12      1       8833.92
ODO1694072289542147     DH9522-001      34.4    21.4    12      1       8833.92
ODO1694320563186528     FB2852-717      32.6    22.4    12      1       8762.88
ODO169400909038983      FB2852-717      32.6    22.4    12      1       8762.88
TBBJ2309028075  DX4397-103      32      22.8    12      1       8755.2
ODO1694008986500499     DX4397-103      32      22.8    12      1       8755.2
BSIN2309136279  DQ8417-071      32      22.8    12      1       8755.2
ODO1694228751597888     DX4397-103      32      22.8    12      1       8755.2
ODO169400234546382      DX4397-103      32      22.8    12      1       8755.2
ODO1694008979647370     DX4397-103      32      22.8    12      1       8755.2
ODO1694002349114359     DX4397-103      32      22.8    12      1       8755.2
ODO1694002401312158     DX4397-103      32      22.8    12      1       8755.2
ODO1694002653693524     DX4397-103      32      22.8    12      1       8755.2
ODO1694002349114359     DX4397-103      32      22.8    12      1       8755.2
ODO1694002349114359     DX4397-103      32      22.8    12      1       8755.2
ODO1694008978417292     DX4397-103      32      22.8    12      1       8755.2
ODO169400234546382      DX4397-103      32      22.8    12      1       8755.2
ODO169400234546382      DX4397-103      32      22.8    12      1       8755.2
ODO1694241709855400     DJ2908-484      33.6    21.7    12      1       8749.44
ODO1694027149712683     DJ2908-484      33.6    21.7    12      1       8749.44
ODO1694009036773453     FN8927-621      33.6    21.7    12      1       8749.44
ODO1694037740379667     DH7004-600      31.8    22.5    12.2    1       8729.1
ODO1694169049908519     FJ4743-100      33.2    21.9    12      1       8724.96
ODO1693866729053536     DZ2527-100      33.8    21.5    12      1       8720.4
ODO1693866729053536     DZ2527-100      33.8    21.5    12      1       8720.4
ODO1693866729053536     DZ2527-100      33.8    21.5    12      1       8720.4
ODO1693866729053536     DZ2527-100      33.8    21.5    12      1       8720.4
TBNK2309130382  553558-481      31.8    22.8    12      1       8700.48
TBBJ2309060152  553558-481      31.8    22.8    12      1       8700.48
TBBJ2309021545  553558-065      31.8    22.8    12      1       8700.48
ODO1694013471094317     CW2288-001      34.5    21      12      1       8694
BSIN2309039085  DC3728-003      34.5    21      12      1       8694
ODO1694076829834193     CU4151-102      34.5    21      12      1       8694
ODO1694005913991605     CW2288-001      34.5    21      12      1       8694
ODO1694006168129206     DC3728-003      34.5    21      12      1       8694
ODO1694322721103251     CW2288-001      34.5    21      12      1       8694
ODO1694002684203276     CW2288-001      34.5    21      12      1       8694
ODO1694002827690123     CW2288-001      34.5    21      12      1       8694
ODO1694008919389467     CW2288-001      34.5    21      12      1       8694
ODO169389600466478      DC3728-003      34.5    21      12      1       8694
TBNK2309119672  DC3728-003      34.5    21      12      2       17388
ODO1694009214001795     CW2288-001      34.5    21      12      1       8694
ODO1694002833450408     CW2288-001      34.5    21      12      1       8694
ODO1694006168129206     DC3728-003      34.5    21      12      1       8694
ODO1694006168129206     DC3728-003      34.5    21      12      1       8694
ODO1694008917485348     DC3728-003      34.5    21      12      1       8694
ODO1693867081056596     DC3728-003      34.5    21      12      1       8694
ODO1694008917768369     CW2288-001      34.5    21      12      1       8694
ODO1693867081056596     DC3728-003      34.5    21      12      1       8694
ODO1694009571488905     CW2288-001      34.5    21      12      1       8694
